,MSW05_Binomial,iucn_status,order,body_mass_g,15-1_LitterSize,3-1_AgeatFirstBirth_d
40,Acomys_wilsoni,LC,Rodentia,18.5,2.29,
41,Aconaemys_fuscus,LC,Rodentia,129.95,3.23,
42,Aconaemys_porteri,DD,Rodentia,,0.0,
43,Aconaemys_sagei,DD,Rodentia,96.49,0.0,
44,Acrobates_pygmaeus,LC,Diprotodontia,13.84,2.8,212.91
45,Addax_nasomaculatus,CR,Artiodactyla,96077.36,1.0,1066.86
46,Aepeomys_lugens,LC,Rodentia,37.0,0.0,
47,Aepeomys_reigi,VU,Rodentia,,0.0,
48,Aepyceros_melampus,LC,Artiodactyla,52591.69,0.98,730.0
49,Aepyprymnus_rufescens,LC,Diprotodontia,2810.31,1.03,319.37
50,Aeretes_melanopterus,NT,Rodentia,,0.0,
51,Aeromys_tephromelas,DD,Rodentia,1187.0,1.07,
52,Aeromys_thomasi,LC,Rodentia,1430.19,0.0,
53,Aethalops_aequalis,LC,Chiroptera,,0.0,
54,Aethalops_alecto,LC,Chiroptera,15.0,0.99,
55,Aethomys_bocagei,LC,Rodentia,,0.0,
56,Aethomys_chrysophilus,LC,Rodentia,80.85,3.09,138.0
57,Aethomys_hindei,LC,Rodentia,140.65,2.05,
58,Aethomys_ineptus,LC,Rodentia,133.16,0.0,
59,Aethomys_kaiseri,LC,Rodentia,89.99,3.0,
60,Aethomys_nyikae,LC,Rodentia,,3.56,
61,Aethomys_silindensis,DD,Rodentia,,0.0,
62,Aethomys_stannarius,DD,Rodentia,,0.0,
63,Aethomys_thomasi,LC,Rodentia,,0.0,
64,Ailuropoda_melanoleuca,VU,Carnivora,117999.99,1.62,
65,Ailurops_melanotis,CR,Diprotodontia,,0.0,
66,Ailurops_ursinus,VU,Diprotodontia,10000.0,0.0,
67,Ailurus_fulgens,EN,Carnivora,5170.08,1.7,760.41
68,Akodon_aerosus,LC,Rodentia,59.99,0.0,
69,Akodon_affinis,LC,Rodentia,24.89,0.0,
70,Akodon_albiventer,LC,Rodentia,25.95,0.0,
71,Akodon_aliquantulus,DD,Rodentia,,0.0,
72,Akodon_azarae,LC,Rodentia,25.27,4.59,
73,Akodon_boliviensis,LC,Rodentia,27.5,4.86,
74,Akodon_budini,LC,Rodentia,26.9,0.0,
75,Akodon_cursor,LC,Rodentia,39.84,0.0,
76,Akodon_dayi,LC,Rodentia,32.49,0.0,
77,Akodon_dolores,LC,Rodentia,50.49,3.89,
78,Akodon_fumeus,LC,Rodentia,22.69,0.0,
79,Akodon_iniscatus,LC,Rodentia,28.7,0.0,
80,Akodon_juninensis,LC,Rodentia,38.99,0.0,
81,Akodon_kofordi,LC,Rodentia,29.49,0.0,
82,Akodon_leucolimnaeus,DD,Rodentia,,0.0,
83,Akodon_lindberghi,DD,Rodentia,26.4,0.0,
84,Akodon_lutescens,LC,Rodentia,20.69,0.0,
85,Akodon_mimus,LC,Rodentia,23.99,0.0,
86,Akodon_molinae,LC,Rodentia,32.99,3.77,91.25
87,Akodon_mollis,LC,Rodentia,30.39,0.0,
88,Akodon_montensis,LC,Rodentia,,0.0,
89,Akodon_mystax,DD,Rodentia,,0.0,
90,Akodon_neocenus,DD,Rodentia,42.39,0.0,
91,Akodon_oenos,DD,Rodentia,,0.0,
92,Akodon_orophilus,LC,Rodentia,38.99,0.0,
93,Akodon_paranaensis,LC,Rodentia,,0.0,
94,Akodon_pervalens,DD,Rodentia,,0.0,
95,Akodon_reigi,LC,Rodentia,,0.0,
96,Akodon_sanctipaulensis,DD,Rodentia,27.1,0.0,
97,Akodon_serrensis,LC,Rodentia,28.3,0.0,
98,Akodon_siberiae,NT,Rodentia,34.6,0.0,
99,Akodon_simulator,LC,Rodentia,42.5,0.0,
100,Akodon_spegazzinii,LC,Rodentia,28.6,0.0,
101,Akodon_subfuscus,LC,Rodentia,30.39,0.0,
102,Akodon_surdus,VU,Rodentia,38.99,0.0,
103,Akodon_sylvanus,LC,Rodentia,38.99,0.0,
104,Akodon_toba,LC,Rodentia,51.2,0.0,
105,Akodon_torques,LC,Rodentia,38.99,0.0,
106,Akodon_varius,DD,Rodentia,40.0,0.0,
107,Alcelaphus_buselaphus,LC,Artiodactyla,160937.86,1.0,927.7
108,Alces_alces,LC,Artiodactyla,461900.76,1.25,1216.66
109,Alionycteris_paucidentata,LC,Chiroptera,16.24,0.0,
110,Allactaga_balikunica,LC,Rodentia,,0.0,
111,Allactaga_bullata,LC,Rodentia,,2.52,
112,Allactaga_elater,LC,Rodentia,59.0,4.47,
113,Allactaga_euphratica,NT,Rodentia,232.0,4.99,
114,Allactaga_firouzi,DD,Rodentia,,0.0,
115,Allactaga_hotsoni,LC,Rodentia,,0.0,
116,Allactaga_major,LC,Rodentia,,3.49,
117,Allactaga_severtzovi,LC,Rodentia,,3.93,
118,Allactaga_sibirica,LC,Rodentia,,3.44,
119,Allactaga_tetradactyla,VU,Rodentia,52.0,0.0,
120,Allactaga_vinogradovi,NT,Rodentia,,0.0,
121,Allactaga_williamsi,LC,Rodentia,,0.0,
122,Allactodipus_bobrinskii,LC,Rodentia,,5.15,
123,Allenopithecus_nigroviridis,LC,Primates,4749.96,1.01,
124,Allocebus_trichotis,VU,Primates,78.09,1.0,
125,Allocricetulus_curtatus,LC,Rodentia,,5.19,
126,Allocricetulus_eversmanni,LC,Rodentia,,4.99,
127,Alouatta_belzebul,VU,Primates,6157.91,0.0,
128,Alouatta_caraya,LC,Primates,5576.96,1.01,1354.15
129,Alouatta_guariba,LC,Primates,5188.33,0.0,
130,Alouatta_macconnelli,LC,Primates,,0.0,
131,Alouatta_nigerrima,LC,Primates,,0.0,
132,Alouatta_palliata,LC,Primates,6576.99,1.02,1382.13
133,Alouatta_pigra,EN,Primates,7172.06,1.01,
134,Alouatta_sara,LC,Primates,6611.04,0.0,
135,Alouatta_seniculus,LC,Primates,6398.31,1.42,1671.7
136,Alticola_albicaudus,DD,Rodentia,,0.0,
137,Alticola_argentatus,LC,Rodentia,37.69,4.57,
138,Alticola_barakshin,LC,Rodentia,,0.0,
139,Alticola_lemminus,LC,Rodentia,,0.0,
140,Alticola_macrotis,LC,Rodentia,,0.0,
141,Alticola_montosa,VU,Rodentia,,0.0,
142,Alticola_olchonensis,EN,Rodentia,,0.0,
143,Alticola_roylei,NT,Rodentia,37.0,5.44,
144,Alticola_semicanus,LC,Rodentia,,0.0,
145,Alticola_stoliczkanus,LC,Rodentia,30.14,7.77,
146,Alticola_strelzowi,LC,Rodentia,49.99,6.9,
147,Alticola_tuvinicus,LC,Rodentia,,0.0,
148,Amblyrhiza_inundata,EP,Rodentia,,0.0,
149,Amblysomus_corriae,NT,Afrosoricida,,0.0,
150,Amblysomus_hottentotus,LC,Afrosoricida,62.6,1.86,
151,Amblysomus_marleyi,EN,Afrosoricida,,0.0,
152,Amblysomus_robustus,VU,Afrosoricida,,0.0,
153,Amblysomus_septentrionalis,NT,Afrosoricida,,0.0,
154,Ametrida_centurio,LC,Chiroptera,10.61,0.98,
155,Ammodillus_imbellis,DD,Rodentia,49.99,0.0,
156,Ammodorcas_clarkei,VU,Artiodactyla,28049.81,1.0,
157,Ammospermophilus_harrisii,LC,Rodentia,126.57,6.32,
158,Ammospermophilus_interpres,LC,Rodentia,112.53,9.36,
159,Ammospermophilus_leucurus,LC,Rodentia,103.92,8.0,
160,Ammospermophilus_nelsoni,EN,Rodentia,160.42,8.9,
161,Ammotragus_lervia,VU,Artiodactyla,94202.22,1.22,407.58
162,Amorphochilus_schnablii,VU,Chiroptera,,0.99,
163,Amphinectomys_savamis,DD,Rodentia,,0.0,
164,Anathana_ellioti,LC,Scandentia,160.0,4.84,
165,Andalgalomys_olrogi,LC,Rodentia,32.9,0.0,
166,Andalgalomys_pearsoni,LC,Rodentia,25.4,0.0,
167,Andinomys_edax,LC,Rodentia,69.75,2.91,
168,Anisomys_imitator,LC,Rodentia,510.5,0.0,
169,Anomalurus_beecrofti,LC,Rodentia,479.07,0.98,
170,Anomalurus_derbianus,LC,Rodentia,665.84,1.0,
171,Anomalurus_pelii,DD,Rodentia,1769.99,2.5,
172,Anomalurus_pusillus,LC,Rodentia,250.0,0.0,
173,Anonymomys_mindorensis,DD,Rodentia,,0.0,
174,Anotomys_leander,VU,Rodentia,66.39,0.97,
175,Anoura_caudifer,LC,Chiroptera,10.81,0.99,
176,Anoura_cultrata,LC,Chiroptera,17.39,1.22,
177,Anoura_geoffroyi,LC,Chiroptera,15.15,0.99,
178,Anoura_latidens,LC,Chiroptera,15.06,0.0,
179,Anoura_luismanueli,LC,Chiroptera,,0.0,
180,Anourosorex_assamensis,LC,Soricomorpha,,0.0,
181,Anourosorex_schmidi,DD,Soricomorpha,,0.0,
182,Anourosorex_squamipes,LC,Soricomorpha,20.0,2.82,
183,Anourosorex_yamashinai,LC,Soricomorpha,,0.0,
184,Antechinomys_laniger,LC,Dasyuromorphia,25.57,5.99,
185,Antechinus_adustus,LC,Dasyuromorphia,,0.0,
186,Antechinus_agilis,LC,Dasyuromorphia,22.13,10.0,
187,Antechinus_bellus,VU,Dasyuromorphia,38.73,10.08,
188,Antechinus_flavipes,LC,Dasyuromorphia,44.33,8.54,
189,Antechinus_godmani,NT,Dasyuromorphia,75.74,4.58,
190,Antechinus_leo,LC,Dasyuromorphia,70.09,8.19,
191,Antechinus_minimus,LC,Dasyuromorphia,52.56,7.19,
192,Antechinus_stuartii,LC,Dasyuromorphia,29.01,6.89,
193,Antechinus_subtropicus,LC,Dasyuromorphia,,0.0,
194,Antechinus_swainsonii,LC,Dasyuromorphia,58.69,8.24,
195,Anthops_ornatus,DD,Chiroptera,,0.0,
196,Antidorcas_marsupialis,LC,Artiodactyla,33571.24,1.0,
197,Antilocapra_americana,LC,Artiodactyla,47450.01,1.93,365.0
198,Antilope_cervicapra,NT,Artiodactyla,36301.1,1.22,669.16
199,Antrozous_pallidus,LC,Chiroptera,22.24,1.78,
200,Aonyx_capensis,NT,Carnivora,19322.22,2.62,
201,Aotus_azarae,LC,Primates,929.57,1.0,
202,Aotus_lemurinus,VU,Primates,865.96,1.01,
203,Aotus_miconax,VU,Primates,800.0,0.0,
204,Aotus_nancymaae,LC,Primates,791.03,1.02,
205,Aotus_nigriceps,LC,Primates,1057.0,0.0,
206,Aotus_trivirgatus,LC,Primates,912.4,1.06,883.3
207,Aotus_vociferans,LC,Primates,872.99,1.02,
208,Aplodontia_rufa,LC,Rodentia,806.21,2.46,730.0
209,Apodemus_agrarius,LC,Rodentia,21.11,5.64,
210,Apodemus_alpicola,LC,Rodentia,,0.0,
211,Apodemus_argenteus,LC,Rodentia,,0.0,
212,Apodemus_chevrieri,LC,Rodentia,,0.0,
213,Apodemus_draco,LC,Rodentia,,0.0,
214,Apodemus_epimelas,LC,Rodentia,,0.0,
215,Apodemus_flavicollis,LC,Rodentia,31.6,4.94,
216,Apodemus_gurkha,LC,Rodentia,,0.0,
217,Apodemus_hyrcanicus,NT,Rodentia,,0.0,
218,Apodemus_latronum,LC,Rodentia,,0.0,
219,Apodemus_mystacinus,LC,Rodentia,43.84,3.88,
220,Apodemus_pallipes,LC,Rodentia,,0.0,
221,Apodemus_peninsulae,LC,Rodentia,,4.41,
222,Apodemus_ponticus,LC,Rodentia,,0.0,
223,Apodemus_rusiges,LC,Rodentia,,0.0,
224,Apodemus_semotus,LC,Rodentia,25.77,3.56,
225,Apodemus_speciosus,LC,Rodentia,43.75,4.47,
226,Apodemus_sylvaticus,LC,Rodentia,21.9,5.16,85.0
227,Apodemus_uralensis,LC,Rodentia,18.26,5.72,
228,Apodemus_witherbyi,LC,Rodentia,20.66,0.0,
229,Apomys_abrae,LC,Rodentia,34.88,0.0,
230,Apomys_datae,LC,Rodentia,34.88,0.0,
231,Apomys_gracilirostris,LC,Rodentia,,0.0,
232,Apomys_hylocetes,LC,Rodentia,34.88,0.0,
233,Apomys_insignis,LC,Rodentia,34.88,0.0,
234,Apomys_littoralis,DD,Rodentia,30.95,0.0,
235,Apomys_microdon,LC,Rodentia,34.98,0.0,
236,Apomys_musculus,LC,Rodentia,21.2,0.0,
237,Apomys_sacobianus,LC,Rodentia,34.88,0.0,
238,Aproteles_bulmerae,CR,Chiroptera,623.91,1.0,
239,Arborimus_albipes,LC,Rodentia,23.0,2.73,
240,Arborimus_longicaudus,NT,Rodentia,22.39,2.91,
241,Arborimus_pomo,NT,Rodentia,32.49,2.0,
242,Archboldomys_luzonensis,VU,Rodentia,35.34,0.0,
243,Arctictis_binturong,VU,Carnivora,12999.99,2.5,
244,Arctocebus_aureus,LC,Primates,234.16,0.0,
245,Arctocebus_calabarensis,LC,Primates,258.01,1.01,417.92
246,Arctocephalus_australis,LC,Carnivora,67979.43,1.0,
247,Arctocephalus_forsteri,LC,Carnivora,101249.99,1.0,
248,Arctocephalus_galapagoensis,EN,Carnivora,39448.04,1.0,
249,Arctocephalus_gazella,LC,Carnivora,96599.99,1.0,1277.5
250,Arctocephalus_philippii,LC,Carnivora,94999.99,1.0,
251,Arctocephalus_pusillus,LC,Carnivora,178500.0,1.0,1095.0
252,Arctocephalus_townsendi,LC,Carnivora,101063.71,1.0,
253,Arctocephalus_tropicalis,LC,Carnivora,92222.55,1.4,
254,Arctogalidia_trivirgata,LC,Carnivora,2323.79,2.79,
255,Arctonyx_collaris,VU,Carnivora,8166.52,3.0,
256,Ardops_nichollsi,LC,Chiroptera,19.23,0.99,
257,Arielulus_aureocollaris,LC,Chiroptera,,0.0,
258,Arielulus_circumdatus,LC,Chiroptera,10.4,0.0,
259,Arielulus_cuprosus,VU,Chiroptera,,0.0,
260,Arielulus_societatis,VU,Chiroptera,,0.0,
261,Arielulus_torquatus,LC,Chiroptera,,0.0,
262,Ariteus_flavescens,LC,Chiroptera,,0.0,
263,Artibeus_amplus,LC,Chiroptera,61.04,0.0,
264,Artibeus_concolor,LC,Chiroptera,19.65,0.0,
265,Artibeus_fimbriatus,LC,Chiroptera,63.89,0.0,
266,Artibeus_fraterculus,LC,Chiroptera,,0.98,
267,Artibeus_hirsutus,LC,Chiroptera,40.42,0.98,
268,Artibeus_inopinatus,DD,Chiroptera,,0.0,
269,Artibeus_jamaicensis,LC,Chiroptera,43.63,1.0,
270,Artibeus_lituratus,LC,Chiroptera,59.3,1.0,
271,Artibeus_obscurus,LC,Chiroptera,35.91,0.98,
272,Arvicanthis_abyssinicus,LC,Rodentia,73.34,0.0,
273,Arvicanthis_ansorgei,LC,Rodentia,,0.0,
274,Arvicanthis_blicki,NT,Rodentia,128.0,0.0,
275,Arvicanthis_nairobae,LC,Rodentia,,0.0,
276,Arvicanthis_neumanni,LC,Rodentia,,0.0,
277,Arvicanthis_niloticus,LC,Rodentia,95.8,4.86,60.0
278,Arvicanthis_rufinus,LC,Rodentia,,0.0,
279,Arvicola_amphibius,LC,Rodentia,120.0,4.76,365.0
280,Arvicola_sapidus,VU,Rodentia,219.99,3.21,
281,Arvicola_scherman,LC,Rodentia,,0.0,
282,Asellia_patrizii,LC,Chiroptera,,0.0,
283,Asellia_tridens,LC,Chiroptera,12.94,0.0,
284,Aselliscus_stoliczkanus,LC,Chiroptera,6.09,0.0,
285,Aselliscus_tricuspidatus,LC,Chiroptera,4.08,0.99,
286,Atelerix_albiventris,LC,Erinaceomorpha,293.44,3.98,
287,Atelerix_algirus,LC,Erinaceomorpha,903.98,2.5,
288,Atelerix_frontalis,LC,Erinaceomorpha,329.12,4.99,
289,Atelerix_sclateri,LC,Erinaceomorpha,,0.0,
290,Ateles_belzebuth,EN,Primates,6692.42,1.02,
291,Ateles_chamek,EN,Primates,7053.92,0.0,
292,Ateles_fusciceps,CR,Primates,9067.94,1.01,1773.9
293,Ateles_geoffroyi,EN,Primates,7582.4,1.01,2080.5
294,Ateles_hybridus,CR,Primates,,0.0,
295,Ateles_marginatus,EN,Primates,6229.28,0.0,
296,Ateles_paniscus,VU,Primates,8697.25,1.0,1825.0
297,Atelocynus_microtis,NT,Carnivora,8363.22,0.0,
298,Atherurus_africanus,LC,Rodentia,2875.65,1.5,
299,Atherurus_macrourus,LC,Rodentia,2000.0,1.5,
300,Atilax_paludinosus,LC,Carnivora,3600.16,2.0,
301,Atlantoxerus_getulus,LC,Rodentia,250.57,0.0,
302,Auliscomys_boliviensis,LC,Rodentia,70.91,3.4,
303,Auliscomys_pictus,LC,Rodentia,48.97,0.0,
304,Auliscomys_sublimis,LC,Rodentia,38.0,0.0,
305,Avahi_laniger,VU,Primates,1092.28,1.01,941.7
306,Avahi_occidentalis,EN,Primates,828.98,1.02,
307,Avahi_unicolor,EN,Primates,,0.0,
308,Axis_axis,LC,Artiodactyla,69499.99,1.01,
309,Axis_calamianensis,EN,Artiodactyla,39812.6,2.0,
310,Axis_kuhlii,CR,Artiodactyla,54999.99,1.22,
311,Axis_porcinus,EN,Artiodactyla,37448.29,1.0,
312,Babyrousa_babyrussa,VU,Artiodactyla,92950.09,1.73,
313,Babyrousa_celebensis,VU,Artiodactyla,,0.0,
314,Babyrousa_togeanensis,EN,Artiodactyla,,0.0,
315,Baiomys_musculus,LC,Rodentia,8.99,2.62,
316,Baiomys_taylori,LC,Rodentia,7.43,2.52,81.5
317,Balaena_mysticetus,LC,Cetacea,79691178.99,1.0,
318,Balaenoptera_acutorostrata,LC,Cetacea,5587093.59,1.0,
319,Balaenoptera_bonaerensis,DD,Cetacea,,0.0,
320,Balaenoptera_borealis,EN,Cetacea,22106251.95,1.02,
321,Balaenoptera_edeni,DD,Cetacea,19999999.97,0.97,
322,Balaenoptera_musculus,EN,Cetacea,154321304.5,1.0,
323,Balaenoptera_physalus,EN,Cetacea,47506008.23,1.01,
324,Balantiopteryx_infusca,VU,Chiroptera,,0.0,
325,Balantiopteryx_io,VU,Chiroptera,3.97,1.0,
326,Balantiopteryx_plicata,LC,Chiroptera,6.57,0.99,365.0
327,Balionycteris_maculata,LC,Chiroptera,14.43,1.0,
328,Bandicota_bengalensis,LC,Rodentia,226.99,7.29,91.25
329,Bandicota_indica,LC,Rodentia,583.09,6.12,272.5
330,Bandicota_savilei,LC,Rodentia,260.63,0.0,
331,Barbastella_barbastellus,NT,Chiroptera,8.31,1.73,
332,Barbastella_leucomelas,LC,Chiroptera,15.05,0.0,
333,Bassaricyon_alleni,LC,Carnivora,,0.0,
334,Bassaricyon_gabbii,LC,Carnivora,1250.0,1.0,
335,Bassariscus_astutus,LC,Carnivora,1010.37,3.0,365.0
336,Bassariscus_sumichrasti,LC,Carnivora,906.0,2.0,
337,Bathyergus_janetta,LC,Rodentia,388.69,3.49,
338,Bathyergus_suillus,LC,Rodentia,777.38,2.89,
339,Batomys_dentatus,DD,Rodentia,,0.0,
340,Batomys_granti,NT,Rodentia,169.53,0.0,
341,Batomys_russatus,EN,Rodentia,,0.0,
342,Batomys_salomonseni,LC,Rodentia,185.76,0.0,
343,Bauerus_dubiaquercus,NT,Chiroptera,22.22,1.71,
344,Bdeogale_crassicauda,LC,Carnivora,1722.13,0.96,
345,Bdeogale_jacksoni,NT,Carnivora,2500.0,0.0,
346,Bdeogale_nigripes,LC,Carnivora,2623.01,1.0,
347,Beamys_hindei,LC,Rodentia,75.8,3.49,
348,Beatragus_hunteri,CR,Artiodactyla,79132.17,1.0,
349,Belomys_pearsonii,DD,Rodentia,,0.0,
350,Berardius_arnuxii,DD,Cetacea,7000000.02,0.0,
351,Berardius_bairdii,DD,Cetacea,11380000.04,0.98,
352,Berylmys_berdmorei,LC,Rodentia,,0.0,
353,Berylmys_bowersi,LC,Rodentia,358.68,3.88,
354,Berylmys_mackenziei,DD,Rodentia,,0.0,
355,Berylmys_manipulus,DD,Rodentia,,0.0,
356,Bettongia_gaimardi,NT,Diprotodontia,1667.55,1.0,272.0
357,Bettongia_lesueur,NT,Diprotodontia,1447.27,1.0,206.45
358,Bettongia_penicillata,CR,Diprotodontia,1184.35,1.0,288.95
359,Bettongia_tropica,EN,Diprotodontia,1256.58,1.0,
360,Bibimys_chacoensis,LC,Rodentia,28.0,0.0,
361,Bibimys_labiosus,LC,Rodentia,,0.0,
362,Bibimys_torresi,NT,Rodentia,28.0,0.0,
363,Bison_bison,NT,Artiodactyla,624577.07,0.98,1095.0
364,Bison_bonasus,VU,Artiodactyla,675876.7,1.0,1068.38
365,Biswamoyopterus_biswasi,CR,Rodentia,,0.0,
366,Blanfordimys_afghanus,LC,Rodentia,,3.4,
367,Blanfordimys_bucharensis,LC,Rodentia,,0.0,
368,Blarina_brevicauda,LC,Soricomorpha,18.56,5.39,64.0
369,Blarina_carolinensis,LC,Soricomorpha,11.91,3.95,
370,Blarina_hylophaga,LC,Soricomorpha,14.49,0.0,
371,Blarinella_griselda,LC,Soricomorpha,,0.0,
372,Blarinella_quadraticauda,NT,Soricomorpha,12.5,0.0,
373,Blarinella_wardi,LC,Soricomorpha,,0.0,
374,Blarinomys_breviceps,LC,Rodentia,36.79,1.21,
375,Blastocerus_dichotomus,VU,Artiodactyla,112518.53,0.98,
376,Boromys_offella,EX,Rodentia,,0.0,
377,Boromys_torrei,EX,Rodentia,,0.0,
378,Bos_javanicus,EN,Artiodactyla,635974.34,1.22,912.5
379,Bos_sauveli,CR,Artiodactyla,791321.76,0.0,
380,Boselaphus_tragocamelus,LC,Artiodactyla,182253.04,1.39,912.5
381,Brachiones_przewalskii,LC,Rodentia,,0.0,
382,Brachylagus_idahoensis,LC,Lagomorpha,431.19,5.81,
383,Brachyphylla_cavernarum,LC,Chiroptera,45.5,1.0,
384,Brachyphylla_nana,LC,Chiroptera,37.25,0.98,
385,Brachytarsomys_albicauda,LC,Rodentia,200.0,0.0,
386,Brachytarsomys_villosa,VU,Rodentia,219.99,0.0,
387,Brachyteles_arachnoides,EN,Primates,10537.31,1.02,2737.5
388,Brachyteles_hypoxanthus,CR,Primates,,0.0,
389,Brachyuromys_betsileoensis,LC,Rodentia,93.58,0.0,
390,Brachyuromys_ramirohitra,LC,Rodentia,92.31,0.0,
391,Bradypus_pygmaeus,CR,Pilosa,,0.0,
392,Bradypus_torquatus,VU,Pilosa,4468.42,1.0,
393,Bradypus_tridactylus,LC,Pilosa,4375.8,1.0,
394,Bradypus_variegatus,LC,Pilosa,4136.36,1.0,
395,Brotomys_voratus,EX,Rodentia,,0.0,
396,Brucepattersonius_albinasus,DD,Rodentia,,0.0,
397,Brucepattersonius_griserufescens,DD,Rodentia,,0.0,
398,Brucepattersonius_guarani,DD,Rodentia,,0.0,
399,Brucepattersonius_igniventris,DD,Rodentia,,0.0,
400,Brucepattersonius_iheringi,LC,Rodentia,43.0,0.0,
401,Brucepattersonius_misionensis,DD,Rodentia,,0.0,
402,Brucepattersonius_paradisus,DD,Rodentia,,0.0,
403,Brucepattersonius_soricinus,DD,Rodentia,,0.0,
404,Bubalus_depressicornis,EN,Artiodactyla,256989.27,1.0,
405,Bubalus_mindorensis,CR,Artiodactyla,254389.74,1.0,
406,Bubalus_quarlesi,EN,Artiodactyla,181718.86,1.0,
407,Budorcas_taxicolor,VU,Artiodactyla,294515.33,1.22,
408,Bullimus_bagobus,LC,Rodentia,395.38,0.0,
409,Bullimus_gamay,VU,Rodentia,,0.0,
410,Bullimus_luzonicus,LC,Rodentia,,0.0,
411,Bunolagus_monticularis,CR,Lagomorpha,1750.01,1.22,
412,Bunomys_andrewsi,LC,Rodentia,,0.0,
413,Bunomys_chrysocomus,LC,Rodentia,111.29,0.0,
414,Bunomys_coelestis,CR,Rodentia,,0.0,
415,Bunomys_fratrorum,VU,Rodentia,130.31,0.0,
416,Bunomys_penitus,NT,Rodentia,,0.0,
417,Bunomys_prolatus,EN,Rodentia,,0.0,
418,Burramys_parvus,CR,Diprotodontia,44.27,3.6,365.0
419,Cabassous_centralis,DD,Cingulata,3669.69,1.0,
420,Cabassous_chacoensis,NT,Cingulata,1490.01,0.0,
421,Cabassous_tatouay,LC,Cingulata,5349.95,0.0,
422,Cabassous_unicinctus,LC,Cingulata,3987.97,1.0,
423,Cacajao_calvus,VU,Primates,3421.04,1.01,1306.7
424,Caenolestes_caniventer,NT,Paucituberculata,40.0,2.0,
425,Caenolestes_condorensis,VU,Paucituberculata,47.81,0.0,
426,Caenolestes_convelatus,VU,Paucituberculata,31.56,0.0,
427,Caenolestes_fuliginosus,LC,Paucituberculata,28.64,3.62,
428,Calcochloris_obtusirostris,LC,Afrosoricida,24.05,2.0,
429,Calcochloris_tytonis,DD,Afrosoricida,,0.0,
430,Callicebus_baptista,LC,Primates,,0.0,
431,Callicebus_barbarabrownae,CR,Primates,,0.0,
432,Callicebus_bernhardi,LC,Primates,,0.0,
433,Callicebus_brunneus,LC,Primates,850.84,1.02,
434,Callicebus_caligatus,LC,Primates,992.4,1.02,
435,Callicebus_cinerascens,LC,Primates,992.4,1.02,
436,Callicebus_coimbrai,EN,Primates,,0.0,
437,Callicebus_cupreus,LC,Primates,1117.02,1.01,
438,Callicebus_discolor,LC,Primates,,0.0,
439,Callicebus_donacophilus,LC,Primates,897.67,1.02,
440,Callicebus_dubius,LC,Primates,992.4,1.02,
441,Callicebus_hoffmannsi,LC,Primates,1067.61,1.02,
442,Callicebus_lucifer,LC,Primates,,0.0,
443,Callicebus_lugens,LC,Primates,,0.0,
444,Callicebus_medemi,VU,Primates,,0.0,
